ID,COUNTRY,DIRECTION,COUNTY,LAT,LON,YEAR,YRGROUP,HOST,HOSTTYPE,LINEAGE,SOURCE,ID,MLG,MANMLG
IRE_115,ie,se,wicklow,53.0113,-6.3262,2012,late,water,envi,eu1,forest,IRE_115,eu1mg1,11
IRE_117,ie,w,tipperary,52.3543,-7.695,2012,late,fagus,brotree,eu1,forest,IRE_117,eu1mg1,11
IRE_118,ie,se,wicklow,53.0113,-6.3262,2012,late,larix,contree,eu1,forest,IRE_118,eu1mg1,11
IRE_12,ie,w,kerry,52.0599,-9.5044,2013,late,rhod,shrub,eu1,forest,IRE_12,eu1mg1,11
IRE_120,ni,ni,antrim,54.682,-5.88,2012,late,larix,contree,eu1,forest,IRE_120,eu1mg43,143
IRE_121,ni,ni,down,53.3501,-6.2662,2012,late,rhod,shrub,eu2,forest,IRE_121,eu2mg1,21
IRE_123,ni,ni,antrim,54.682,-5.88,2012,late,larix,contree,eu2,forest,IRE_123,eu2mg1,21
IRE_125,ni,ni,down,53.3501,-6.2662,2012,late,rhod,shrub,eu2,forest,IRE_125,eu2mg1,21
IRE_126,ni,ni,antrim,54.682,-5.88,2012,late,viburnum,shrub,eu2,forest,IRE_126,eu2mg1,21
IRE_127,ni,ni,antrim,54.682,-5.88,2012,late,larix,contree,eu2,forest,IRE_127,eu2mg1,21
IRE_128,ni,ni,antrim,54.682,-5.88,2012,late,larix,contree,eu2,forest,IRE_128,eu2mg1,21
IRE_129,ni,ni,antrim,54.682,-5.88,2012,late,larix,contree,eu2,forest,IRE_129,eu2mg1,21
IRE_13,ie,se,wicklow,53.0113,-6.3262,2014,late,rhod,shrub,eu1,forest,IRE_13,eu1mg1,11
IRE_130,ni,ni,antrim,54.682,-5.88,2012,late,larix,contree,eu2,forest,IRE_130,eu2mg1,21
IRE_131,ni,ni,antrim,54.682,-5.88,2012,late,larix,contree,eu2,forest,IRE_131,eu2mg1,21
IRE_132,ni,ni,antrim,54.682,-5.88,2012,late,larix,contree,eu2,forest,IRE_132,eu2mg1,21
IRE_133,ni,ni,armagh,54.3503,-6.6528,2012,late,abies,contree,eu1,forest,IRE_133,eu1mg1,11
IRE_134,ni,ni,antrim,54.682,-5.88,2012,late,larix,contree,eu2,forest,IRE_134,eu2mg1,21
IRE_136,ni,ni,antrim,54.682,-5.88,2012,late,larix,contree,eu2,forest,IRE_136,eu2mg1,21
IRE_137,ni,ni,antrim,54.682,-5.88,2012,late,larix,contree,eu2,forest,IRE_137,eu2mg1,21
IRE_138,ni,ni,antrim,54.682,-5.88,2012,late,larix,contree,eu2,forest,IRE_138,eu2mg1,21
IRE_139,ni,ni,antrim,54.682,-5.88,2012,late,larix,contree,eu2,forest,IRE_139,eu2mg1,21
IRE_14,ie,w,kerry,52.0599,-9.5044,2014,late,larix,contree,eu1,forest,IRE_14,eu1mg1,11
IRE_140,ie,se,wicklow,53.0113,-6.3262,2014,late,water,envi,eu1,forest,IRE_140,eu1mg1,11
IRE_141,ie,se,wicklow,53.0113,-6.3262,2014,late,water,envi,eu1,forest,IRE_141,eu1mg1,11
IRE_142,ie,se,wicklow,53.0113,-6.3262,2014,late,water,envi,eu1,forest,IRE_142,eu1mg1,11
IRE_143,ie,se,wicklow,53.0113,-6.3262,2015,late,water,envi,eu1,forest,IRE_143,eu1mg1,11
IRE_145,ie,se,wicklow,53.0113,-6.3262,2015,late,fagus,brotree,eu1,forest,IRE_145,eu1mg1,11
IRE_146,ie,se,wicklow,53.0113,-6.3262,2015,late,water,envi,eu1,forest,IRE_146,eu1mg1,11
IRE_147,ie,se,waterford,52.2583,-7.1119,2015,late,water,envi,eu1,forest,IRE_147,eu1mg1,11
IRE_148,ie,w,tipperary,52.3543,-7.695,2015,late,water,envi,eu1,forest,IRE_148,eu1mg1,11
IRE_15,ie,w,tipperary,52.3543,-7.695,2014,late,larix,contree,eu1,forest,IRE_15,eu1mg18,118
IRE_17,ie,w,cork,51.9036,-8.4684,2014,late,gaultheria,shrub,eu1,forest,IRE_17,eu1mg1,11
IRE_18,ie,w,cork,51.9036,-8.4684,2014,late,larix,contree,eu1,forest,IRE_18,EU1MG125,1125
IRE_19,ie,w,kerry,52.0599,-9.5044,2014,late,larix,contree,eu1,forest,IRE_19,eu1mg1,11
IRE_2,ie,w,cork,51.9036,-8.4684,2012,late,rhod,shrub,eu1,forest,IRE_2,eu1mg13,113
IRE_20,ie,w,kerry,52.0599,-9.5044,2014,late,rhod,shrub,eu1,forest,IRE_20,eu1mg1,11
IRE_21,ie,w,kerry,52.0599,-9.5044,2014,late,rhod,shrub,eu1,forest,IRE_21,eu1mg1,11
IRE_22,ie,w,cork,51.9036,-8.4684,2014,late,rhod,shrub,eu1,forest,IRE_22,eu1mg1,11
IRE_24,ie,w,kerry,52.0599,-9.5044,2014,late,rhod,shrub,eu1,forest,IRE_24,eu1mg18,118
IRE_26,ie,se,wexford,52.3369,-6.4633,2014,late,larix,contree,eu1,forest,IRE_26,eu1mg1,11
IRE_27,ie,w,cork,51.9036,-8.4684,2014,late,larix,contree,eu1,forest,IRE_27,eu1mg1,11
IRE_28,ie,se,wicklow,53.0113,-6.3262,2014,late,larix,contree,eu1,forest,IRE_28,eu1mg1,11
IRE_29,ie,ne,dublin,53.3501,-6.2662,2012,late,pieris,shrub,eu1,nursery,IRE_29,EU1MG129,1129
IRE_30,ie,se,wicklow,53.0113,-6.3262,2012,late,rhod,shrub,eu1,nursery,IRE_30,eu1mg22,122
IRE_31,ie,ne,kildare,53.1561,-6.9144,2012,late,rhod,shrub,eu1,nursery,IRE_31,eu1mg1,11
IRE_33,ie,ne,westmeath,53.5259,-7.3381,2012,late,viburnum,shrub,eu1,nursery,IRE_33,eu1mg1,11
IRE_34,ie,w,cork,51.9036,-8.4684,2013,late,rhod,shrub,eu1,nursery,IRE_34,eu1mg1,11
IRE_36,ie,se,waterford,52.2583,-7.1119,2014,late,rhod,shrub,eu1,nursery,IRE_36,EU1MG135,1135
IRE_37,ie,w,cork,51.9036,-8.4684,2014,late,rhod,shrub,eu1,nursery,IRE_37,EU1MG132,1132
IRE_38,ie,w,galway,53.271,-9.0627,2014,late,rhod,shrub,eu1,nursery,IRE_38,eu1mg26,126
IRE_4,ie,w,kerry,52.0599,-9.5044,2012,late,rhod,shrub,eu1,forest,IRE_4,EU1MG128,1128
IRE_40,ie,se,waterford,52.2583,-7.1119,2014,late,viburnum,shrub,eu1,nursery,IRE_40,eu1mg1,11
IRE_41,ie,se,wexford,52.3369,-6.4633,2014,late,rhod,shrub,eu1,nursery,IRE_41,eu1mg1,11
IRE_46,ie,se,wicklow,53.0113,-6.3262,2014,late,viburnum,shrub,eu1,nursery,IRE_46,eu1mg1,11
IRE_48,ie,w,cork,51.9036,-8.4684,2015,late,rhod,shrub,eu1,nursery,IRE_48,eu1mg1,11
IRE_49,ie,w,tipperary,52.3543,-7.695,2015,late,viburnum,shrub,eu1,nursery,IRE_49,eu1mg1,11
IRE_50,ie,w,kerry,52.0599,-9.5044,2015,late,rhod,shrub,eu1,nursery,IRE_50,eu1mg18,118
IRE_51,ie,w,tipperary,52.3543,-7.695,2015,late,rhod,shrub,eu1,nursery,IRE_51,eu1mg1,11
IRE_53,ie,w,galway,53.271,-9.0627,2015,late,camellia,shrub,eu1,nursery,IRE_53,eu1mg19,119
IRE_54,ie,w,kerry,52.0599,-9.5044,2015,late,rhod,shrub,eu1,nursery,IRE_54,eu1mg5,15
