7,165,132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,12,1,1,1,2,1,1,1,1,3,3,1,1
11X_17,sc_unknown_unknown_2011_late_larix_contree_eu1_forest_eu1mg1_eubr,221,265,355,402,132,143,115,243,149,149,172,203,188,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_135,ie_cork_w_2018_late_viburnum_shrub_eu1_nursery_eu1mg1_eubr,221,265,355,402,132,143,115,243,149,149,172,203,188,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_161,ie_galway_w_2018_late_viburnum_shrub_eu1_nursery_eu1mg1_eubr,221,265,355,402,132,143,115,243,149,149,172,203,188,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_200,ie_tipperary_w_2018_late_camellia_shrub_eu1_nursery_eu1mg7_eubr,221,265,355,402,132,143,115,245,149,149,172,203,188,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_237,ie_cork_w_2018_late_rhod_shrub_eu1_nursery_eu1mg32_brunique,221,265,355,402,132,143,115,237,149,149,172,203,188,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_440,ie_louth_ne_2018_late_larix_contree_eu2_forest_eu2mg3_ieni,221,227,351,351,109,111,105,115,0,0,178,209,188,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_441,ie_louth_ne_2018_late_larix_contree_eu2_forest_eu2mg3_ieni,221,227,351,351,109,111,105,115,0,0,178,209,188,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_507,ie_tipperary_w_2018_late_rhod_shrub_eu1_forest_EU1MG134_ieni,221,265,355,402,132,143,115,185,149,149,172,203,188,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_669,ie_tipperary_w_2018_late_rhod_shrub_eu1_forest_eu1mg1_eubr,221,265,355,402,132,143,115,243,149,149,172,203,188,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_670,ie_tipperary_w_2018_late_rhod_shrub_eu1_forest_eu1mg1_eubr,221,265,355,402,132,143,115,243,149,149,172,203,188,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
